ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,http_trans_depth,http_response_body_len,http_method,dns_query,attack_cat,label,rate,sload,dload,smean,dmean,is_sm_ips_ports,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_state_ttl,ct_ftp_cmd,ct_flw_http_mthd
1761337152.957019,CAygMa3XrpAAsIlLQb,192.168.255.112,63665,192.168.255.221,80,tcp,http,0.940201,13525.0,0.0,SH,T,T,0,ScADccF,108,17857,0,0,,6,100.0,0.0,GET,,Fuzzers,1,114.86905459577261,115081.77506724627,0.0,125,0,0,0,26,1,26,27,26,1,26,26,0,26
1761337153.126284,ChsxBz1VYF0EJRHmSh,192.168.255.112,63667,192.168.255.221,80,tcp,http,0.889071,13570.0,0.0,SH,T,T,0,ScADccF,107,17862,0,0,,6,100.0,0.0,GET,,Fuzzers,1,120.3503432234321,122104.98374145597,0.0,126,0,0,0,27,1,27,28,27,1,27,27,0,27
1761337153.275125,CTMT0B3LHUrUvyJGrg,192.168.255.112,63669,192.168.255.221,80,tcp,http,0.850083,13524.0,0.0,SH,T,T,0,ScADccF,109,17896,0,0,,6,100.0,0.0,GET,,Fuzzers,1,128.22277354093657,127272.27811872488,0.0,124,0,0,0,28,1,28,29,28,1,28,28,0,28
1761337153.285804,CAPEuk3iAVSqtCdHUl,192.168.255.112,63670,192.168.255.221,80,tcp,http,0.992931,13455.0,0.0,SH,T,T,0,ScADccF,106,17707,0,0,,6,100.0,0.0,GET,,Fuzzers,1,106.75464861103139,108406.3243065228,0.0,126,0,0,0,29,1,29,30,29,1,29,29,0,29
1761337153.285805,CSYQHY2dKqHE92npId,192.168.255.112,63671,192.168.255.221,80,tcp,http,1.041063,12062.0,0.0,SH,T,T,0,ScADcF,97,15954,0,0,,6,84.0,0.0,GET,,Fuzzers,1,93.1739961942745,92689.87563672899,0.0,124,0,0,0,30,1,30,31,30,1,30,30,0,30
1761337153.771161,Cns34QRzV8ozrsjhk,192.168.255.112,63682,192.168.255.221,80,tcp,http,0.721115,13533.0,0.0,SH,T,T,0,ScADccF,107,17825,0,0,,6,100.0,0.0,GET,,Fuzzers,1,148.38132614076812,150134.16722714133,0.0,126,0,0,0,31,1,31,32,31,1,31,31,0,31
1761337153.834113,CjikXqhCMd3Lwxn62,192.168.255.112,63683,192.168.255.221,80,tcp,http,0.801004,13482.0,0.0,SH,T,T,0,ScADccF,107,17774,0,0,,6,100.0,0.0,GET,,Fuzzers,1,133.58235414554733,134651.01297871172,0.0,126,0,0,0,32,1,32,33,32,1,32,32,0,32
1761337153.834113,CxIvNL18adA7HUn5ch,192.168.255.112,63684,192.168.255.221,80,tcp,http,0.873003,13177.0,0.0,SH,T,T,0,ScADccF,107,17469,0,0,,6,84.0,0.0,GET,,Fuzzers,1,122.5654436468145,120751.01689226727,0.0,123,0,0,0,33,1,33,34,33,1,33,33,0,33
1761337153.83457,C0L6vR2fs8fqoxmknh,192.168.255.112,63686,192.168.255.221,80,tcp,http,1.072845,13536.0,0.0,SH,T,T,0,ScADccF,107,17828,0,0,,6,100.0,0.0,GET,,Fuzzers,1,99.73481723827766,100935.36344951973,0.0,126,0,0,0,34,1,34,35,34,1,34,34,0,34
1761337153.83457,CW8Vpb13iIcP05pHJb,192.168.255.112,63685,192.168.255.221,80,tcp,http,0.957158,13525.0,0.0,SH,T,T,0,ScADccF,107,17817,0,0,,6,100.0,0.0,GET,,Fuzzers,1,111.78927616966061,113042.98767810539,0.0,126,0,0,0,35,1,35,36,35,1,35,35,0,35
1761337154.163917,CJfIEx2gF6GOgScHe,192.168.255.112,63688,192.168.255.221,80,tcp,http,0.9442,13463.0,0.0,SH,T,T,0,ScADccF,108,17795,0,0,,6,100.0,0.0,GET,,Fuzzers,1,114.38254607074772,114069.05316670197,0.0,124,0,0,0,36,1,36,37,36,1,36,36,0,36
1761337154.163917,CCh0jP3dUQCIujYbSh,192.168.255.112,63687,192.168.255.221,80,tcp,http,0.858074,13439.0,0.0,SH,T,T,0,ScADccF,108,17771,0,0,,6,100.0,0.0,GET,,Fuzzers,1,125.86327053377681,125294.55501506863,0.0,124,0,0,0,37,1,37,38,37,1,37,37,0,37
1761337154.320789,C9Fz7hzcnYGZGvLQl,192.168.255.112,63689,192.168.255.221,80,tcp,http,0.930022,13508.0,0.0,SH,T,T,0,ScADccF,108,17840,0,0,,6,100.0,0.0,GET,,Fuzzers,1,116.12628518465155,116195.10076105727,0.0,125,0,0,0,38,1,38,39,38,1,38,38,0,38
1761337154.440838,CuPp5P35vWSYBUP54b,192.168.255.112,63690,192.168.255.221,80,tcp,http,0.892827,13504.0,0.0,SH,T,T,0,ScADccF,106,17756,0,0,,6,100.0,0.0,GET,,Fuzzers,1,118.7240081225142,120999.92495746656,0.0,127,0,0,0,39,1,39,40,39,1,39,39,0,39
1761337154.645178,CXLnV8dIZP9JBOFJ6,192.168.255.112,63692,192.168.255.221,80,tcp,http,0.939133,13459.0,0.0,SH,T,T,0,ScADccF,108,17791,0,0,,6,100.0,0.0,GET,,Fuzzers,1,114.99968588048765,114650.42757522098,0.0,124,0,0,0,40,1,40,41,40,1,40,40,0,40
