n_estimators,max_depth,learning_rate,gamma,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc,composite_score
350,3,0.005,0.1,2.0,0.3467700481414795,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,3,0.008,0.0,2.0,0.3596514066060384,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,3,0.008,0.1,2.0,0.3521536986033122,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,3,0.01,0.0,2.0,0.3518075148264567,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,3,0.01,0.1,2.0,0.34642354647318524,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,5,0.005,0.0,2.0,0.3511740366617839,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,5,0.005,0.1,2.0,0.35466750462849933,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,5,0.008,0.0,2.0,0.3491355578104655,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,5,0.008,0.1,2.0,0.35719092686971027,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,5,0.01,0.0,2.0,0.352553129196167,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,5,0.01,0.1,2.0,0.34905195236206055,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,7,0.005,0.0,2.0,0.343703031539917,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,7,0.005,0.1,2.0,0.3840748469034831,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,7,0.008,0.0,2.0,0.3482171694437663,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,7,0.008,0.1,2.0,0.3482249577840169,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,7,0.01,0.0,2.0,0.35678545633951825,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,7,0.01,0.1,2.0,0.3457796573638916,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
