n_estimators,max_depth,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc
40,20.0,3,0.11408472061157227,1.0,1.0,1.0,1.0,1.0,1.0
40,20.0,4,0.12261676788330078,1.0,1.0,1.0,1.0,1.0,1.0
40,20.0,5,0.11785364151000977,1.0,1.0,1.0,1.0,1.0,1.0
40,,1,0.11163449287414551,1.0,1.0,1.0,1.0,1.0,1.0
40,,2,0.12038183212280273,1.0,1.0,1.0,1.0,1.0,1.0
40,,3,0.14222025871276855,1.0,1.0,1.0,1.0,1.0,1.0
40,,4,0.1138458251953125,1.0,1.0,1.0,1.0,1.0,1.0
40,,5,0.11270260810852051,1.0,1.0,1.0,1.0,1.0,1.0
50,10.0,1,0.12615466117858887,1.0,1.0,1.0,1.0,1.0,1.0
50,10.0,2,0.1255054473876953,1.0,1.0,1.0,1.0,1.0,1.0
50,10.0,3,0.12821102142333984,1.0,1.0,1.0,1.0,1.0,1.0
50,10.0,4,0.1403980255126953,1.0,1.0,1.0,1.0,1.0,1.0
50,10.0,5,0.11813998222351074,1.0,1.0,1.0,1.0,1.0,1.0
50,20.0,1,0.12158632278442383,1.0,1.0,1.0,1.0,1.0,1.0
50,20.0,2,0.12019157409667969,1.0,1.0,1.0,1.0,1.0,1.0
50,20.0,3,0.11841917037963867,1.0,1.0,1.0,1.0,1.0,1.0
50,20.0,4,0.11918210983276367,1.0,1.0,1.0,1.0,1.0,1.0
50,20.0,5,0.12179374694824219,1.0,1.0,1.0,1.0,1.0,1.0
50,,1,0.13686537742614746,1.0,1.0,1.0,1.0,1.0,1.0
50,,2,0.12187576293945312,1.0,1.0,1.0,1.0,1.0,1.0
50,,3,0.11934447288513184,1.0,1.0,1.0,1.0,1.0,1.0
50,,4,0.13497710227966309,1.0,1.0,1.0,1.0,1.0,1.0
50,,5,0.12735605239868164,1.0,1.0,1.0,1.0,1.0,1.0
60,10.0,1,0.12702584266662598,1.0,1.0,1.0,1.0,1.0,1.0
60,10.0,2,0.13819575309753418,1.0,1.0,1.0,1.0,1.0,1.0
60,10.0,3,0.13708257675170898,1.0,1.0,1.0,1.0,1.0,1.0
60,10.0,4,0.12678027153015137,1.0,1.0,1.0,1.0,1.0,1.0
60,10.0,5,0.13745450973510742,1.0,1.0,1.0,1.0,1.0,1.0
60,20.0,1,0.13315033912658691,1.0,1.0,1.0,1.0,1.0,1.0
60,20.0,2,0.133331298828125,1.0,1.0,1.0,1.0,1.0,1.0
60,20.0,3,0.12529611587524414,1.0,1.0,1.0,1.0,1.0,1.0
60,20.0,4,0.12185359001159668,1.0,1.0,1.0,1.0,1.0,1.0
60,20.0,5,0.12337136268615723,1.0,1.0,1.0,1.0,1.0,1.0
60,,1,0.12920236587524414,1.0,1.0,1.0,1.0,1.0,1.0
60,,2,0.12789154052734375,1.0,1.0,1.0,1.0,1.0,1.0
60,,3,0.12296819686889648,1.0,1.0,1.0,1.0,1.0,1.0
60,,4,0.1344137191772461,1.0,1.0,1.0,1.0,1.0,1.0
60,,5,0.13355040550231934,1.0,1.0,1.0,1.0,1.0,1.0
70,10.0,1,0.1431267261505127,1.0,1.0,1.0,1.0,1.0,1.0
70,10.0,2,0.13373994827270508,1.0,1.0,1.0,1.0,1.0,1.0
70,10.0,3,0.13619375228881836,1.0,1.0,1.0,1.0,1.0,1.0
70,10.0,4,0.13150930404663086,1.0,1.0,1.0,1.0,1.0,1.0
