n_estimators,max_depth,min_samples_leaf,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc
10,20.0,10,1,0.3572878837585449,0.06153846153846154,0.0410958904109589,0.12244897959183673,0.8527865404837014,,
10,20.0,10,2,0.38277196884155273,0.0947075208913649,0.054838709677419356,0.3469387755102041,0.6919032597266036,,
10,20.0,10,3,0.3466832637786865,0.06451612903225806,0.03767123287671233,0.22448979591836735,0.704521556256572,,
10,20.0,10,4,0.3861062526702881,0.08088235294117647,0.04932735426008968,0.22448979591836735,0.7770767613038907,,
10,20.0,10,5,0.35278844833374023,0.07692307692307693,0.050314465408805034,0.16326530612244897,0.8412197686645636,,
10,,1,1,0.7593128681182861,0.0,0.0,0.0,0.9894847528916929,,
10,,1,2,0.7942631244659424,0.0,0.0,0.0,0.9905362776025236,,
10,,1,3,0.7805414199829102,0.03571428571428571,0.14285714285714285,0.02040816326530612,0.9936908517350158,,
10,,1,4,0.7780075073242188,0.0,0.0,0.0,0.9936908517350158,,
10,,1,5,0.7728192806243896,0.0,0.0,0.0,0.9957939011566772,,
10,,5,1,0.3684663772583008,0.023952095808383235,0.01694915254237288,0.04081632653061224,0.8780231335436383,,
10,,5,2,0.4269733428955078,0.1118421052631579,0.06666666666666667,0.3469387755102041,0.7497371188222923,,
10,,5,3,0.34005236625671387,0.07602339181286549,0.04436860068259386,0.2653061224489796,0.7055730809674028,,
10,,5,4,0.43143510818481445,0.055776892430278883,0.034653465346534656,0.14285714285714285,0.7949526813880127,,
10,,5,5,0.4107637405395508,0.08620689655172414,0.0546448087431694,0.20408163265306123,0.8180862250262881,,
10,,10,1,0.39229893684387207,0.06153846153846154,0.0410958904109589,0.12244897959183673,0.8527865404837014,,
10,,10,2,0.37868642807006836,0.0947075208913649,0.054838709677419356,0.3469387755102041,0.6919032597266036,,
10,,10,3,0.34024906158447266,0.06451612903225806,0.03767123287671233,0.22448979591836735,0.704521556256572,,
10,,10,4,0.4057183265686035,0.06274509803921569,0.038834951456310676,0.16326530612244897,0.7917981072555205,,
10,,10,5,0.4390385150909424,0.07860262008733625,0.05,0.1836734693877551,0.8201892744479495,,
20,10.0,1,1,0.5124537944793701,0.08771929824561403,0.055865921787709494,0.20408163265306123,0.8222923238696109,,
20,10.0,1,2,0.505307674407959,0.07106598984771574,0.0472972972972973,0.14285714285714285,0.8517350157728707,,
20,10.0,1,3,0.4855313301086426,0.05172413793103448,0.03278688524590164,0.12244897959183673,0.8138801261829653,,
20,10.0,1,4,0.5029704570770264,0.08764940239043825,0.054455445544554455,0.22448979591836735,0.7991587802313355,,
20,10.0,1,5,0.4938483238220215,0.07920792079207921,0.05228758169934641,0.16326530612244897,0.8475289169295478,,
20,10.0,5,1,0.3606538772583008,0.06177606177606178,0.0380952380952381,0.16326530612244897,0.7875920084121977,,
20,10.0,5,2,0.4247457981109619,0.08144796380090498,0.05232558139534884,0.1836734693877551,0.8286014721345951,,
20,10.0,5,3,0.40462636947631836,0.04912280701754386,0.029661016949152543,0.14285714285714285,0.7592008412197687,,
20,10.0,5,4,0.4176461696624756,0.08695652173913043,0.055248618784530384,0.20408163265306123,0.8201892744479495,,
20,10.0,5,5,0.41727542877197266,0.07476635514018691,0.048484848484848485,0.16326530612244897,0.8349106203995794,,
20,10.0,10,1,0.4116358757019043,0.060810810810810814,0.03643724696356275,0.1836734693877551,0.7497371188222923,,
20,10.0,10,2,0.37458014488220215,0.12048192771084337,0.075,0.30612244897959184,0.8054679284963197,,
