n_estimators,max_depth,min_samples_leaf,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc,composite_score
50,10.0,10,3.0,0.6923046946525574,0.07460577400641685,0.048433433006664764,0.163265306122449,0.8340694006309148,0.4986673533766819,0.0490858061708791,0.20745297785132596
50,20.0,1,3.0,1.4359216451644898,0.05407686673990479,0.06193962167922844,0.04897959183673469,0.9594111461619349,0.5041953689993348,0.05031600024371239,0.20286274532765067
50,20.0,5,3.0,0.843708086013794,0.0732110091646477,0.05092389690137229,0.13061224489795917,0.8752891692954785,0.5029507070967187,0.04941938617090205,0.2085270341440895
50,20.0,10,3.0,0.7902552843093872,0.07847360322930616,0.053716600089806,0.14693877551020407,0.8654048370136698,0.5061718062619369,0.049743729297822135,0.21146304626302173
60,10.0,1,3.0,0.972323763370514,0.07772691409466244,0.05292208724321107,0.14693877551020407,0.8651945320715037,0.5060666537908539,0.04995974326419277,0.21125110371656972
60,10.0,5,3.0,0.8069157361984253,0.07223333534603225,0.047092473435694795,0.15510204081632653,0.8380651945320714,0.496583617674199,0.04873577963509602,0.2058509108851091
60,10.0,10,3.0,0.7800972819328308,0.07727505928119383,0.05026407856146224,0.1673469387755102,0.8365930599369085,0.5019699993562093,0.04928457529058456,0.20950987797599593
60,20.0,1,3.0,1.6347977638244628,0.04579516501980552,0.05329035194286112,0.04081632653061224,0.9587802313354363,0.4997982789330243,0.05002676028919086,0.19854006808067357
60,20.0,5,3.0,1.009676170349121,0.07363652734176748,0.05141473636806611,0.13061224489795917,0.8769716088328077,0.5037919268653833,0.04943065185030142,0.20895303535248408
60,20.0,10,3.0,0.9281619191169739,0.07619226858694171,0.052033480736856805,0.14285714285714285,0.8645636172450052,0.503710380051074,0.04962703978512639,0.20984322947438072
70,10.0,1,3.0,1.102364194393158,0.08337816589968801,0.05716810121627809,0.15510204081632653,0.8681388012618296,0.5116204210390781,0.05048092274293716,0.21515983656056778
70,10.0,5,3.0,0.8854252219200134,0.07328857912136968,0.04801631369406271,0.15510204081632653,0.8416403785488958,0.4983712096826112,0.04895773908508612,0.2068725092963557
70,10.0,10,3.0,0.8508499145507813,0.07550925578744924,0.048769086370355236,0.16734693877551018,0.8317560462670872,0.4995514925212987,0.04906630022777215,0.20804234951217337
70,20.0,1,3.0,1.845289945602417,0.04502891740435042,0.0512373925179828,0.04081632653061224,0.9592008412197686,0.5000085838751905,0.04981609985955557,0.1982845337130322
70,20.0,5,3.0,1.0576614499092103,0.06938678865535361,0.04799477459207439,0.12653061224489795,0.8750788643533124,0.5008047382991051,0.04948151155810571,0.20655767950418816
70,20.0,10,3.0,0.9940884947776795,0.07865993540360179,0.053229304509234056,0.15102040816326529,0.8593059936908517,0.5051632009270585,0.04998540133467165,0.21126951255511064
80,10.0,1,3.0,1.2090914368629455,0.08424415091081758,0.058033163170926626,0.15510204081632653,0.870241850683491,0.5126719457499088,0.05059354639417648,0.21583654768496763
80,10.0,5,3.0,0.9749660491943359,0.0662613186009009,0.04362638567204345,0.13877551020408163,0.8431125131440588,0.49094401167407026,0.04842165971258675,0.20187566332918594
80,10.0,10,3.0,0.9440035104751587,0.06959926952069927,0.045289462759388076,0.15102040816326529,0.8357518401682439,0.49338612416575456,0.04861789717606354,0.20386776362083914
