ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,dns_query,attack_cat,label,rate,sload,dload,smean,dmean,is_sm_ips_ports,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_state_ttl,ct_ftp_cmd,ct_flw_http_mthd
1761330290.351539,CzUINK1xcqSTgaIZR6,192.168.255.112,65471,192.168.255.221,80,tcp,,0.000957,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4179.728317659353,0.0,0.0,0,0,0,0,52,1,52,52,52,1,52,52,0,0
1761330290.351841,COwOyJitnOnFPEfv5,192.168.255.112,65472,192.168.255.221,80,tcp,,0.000844,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4739.336492890995,0.0,0.0,0,0,0,0,53,1,53,53,53,1,53,53,0,0
1761330290.352685,Cu9TFy1ZQ3ci2Zgj05,192.168.255.112,65473,192.168.255.221,80,tcp,,0.001404,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2849.002849002849,0.0,0.0,0,0,0,0,54,1,54,54,54,1,54,54,0,0
1761330290.352935,C9G6wn1JBUPCFanat8,192.168.255.112,65474,192.168.255.221,80,tcp,,0.001154,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3466.2045060658575,0.0,0.0,0,0,0,0,55,1,55,55,55,1,55,55,0,0
1761330290.352935,CnHBfQ11jjHg2gaSMe,192.168.255.112,65475,192.168.255.221,80,tcp,,0.001154,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3466.2045060658575,0.0,0.0,0,0,0,0,56,1,56,56,56,1,56,56,0,0
1761330290.353752,CsnAxF2SLRtuSiHMV1,192.168.255.112,65477,192.168.255.221,80,tcp,,0.000803,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4981.3200498132,0.0,0.0,0,0,0,0,57,1,57,57,57,1,57,57,0,0
1761330290.354882,CU8zaT16MLUuiWS89l,192.168.255.112,65478,192.168.255.221,80,tcp,,0.000754,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,5305.039787798409,0.0,0.0,0,0,0,0,58,1,58,58,58,1,58,58,0,0
1761330290.354882,CXUFkK2SHjBJT2Agtd,192.168.255.112,65479,192.168.255.221,80,tcp,,0.001085,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3686.6359447004606,0.0,0.0,0,0,0,0,59,1,59,59,59,1,59,59,0,0
1761330290.355247,ClWyii4eBi6eurTC13,192.168.255.112,65480,192.168.255.221,80,tcp,,0.001126,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3552.3978685612788,0.0,0.0,0,0,0,0,60,1,60,60,60,1,60,60,0,0
1761330290.35582,C4mq291in0rQKec2zk,192.168.255.112,65481,192.168.255.221,80,tcp,,0.000743,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,5383.580080753702,0.0,0.0,0,0,0,0,61,1,61,61,61,1,61,61,0,0
1761330290.355967,C35QoH1JcPxF5f1qd7,192.168.255.112,65482,192.168.255.221,80,tcp,,0.000912,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4385.964912280701,0.0,0.0,0,0,0,0,62,1,62,62,62,1,62,62,0,0
1761330290.356199,CLjIrp2nKgpV0JQiMl,192.168.255.112,65483,192.168.255.221,80,tcp,,0.00068,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,5882.35294117647,0.0,0.0,0,0,0,0,63,1,63,63,63,1,63,63,0,0
1761330290.356879,CpfDWj2K3KQoDUGC42,192.168.255.112,65484,192.168.255.221,80,tcp,,0.001007,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3972.194637537239,0.0,0.0,0,0,0,0,64,1,64,64,64,1,64,64,0,0
1761330290.357191,CJb243352x9HjyYkr5,192.168.255.112,65486,192.168.255.221,80,tcp,,0.000854,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4683.840749414519,0.0,0.0,0,0,0,0,65,1,65,65,65,1,65,65,0,0
1761330290.357191,CJfRFM3EjS3n1XXzj9,192.168.255.112,65485,192.168.255.221,80,tcp,,0.000854,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4683.840749414519,0.0,0.0,0,0,0,0,66,1,66,66,66,1,66,66,0,0
1761330290.357579,CcZvRa4xlghvQsppLa,192.168.255.112,65487,192.168.255.221,80,tcp,,0.000613,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,6525.285481239804,0.0,0.0,0,0,0,0,67,1,67,67,67,1,67,67,0,0
1761330290.358398,CnxKHL1J8EJx3lzkT2,192.168.255.112,65488,192.168.255.221,80,tcp,,0.001243,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3218.0209171359616,0.0,0.0,0,0,0,0,68,1,68,68,68,1,68,68,0,0
1761330290.358881,CQr96Z1C7B9GnYI0H2,192.168.255.112,65489,192.168.255.221,80,tcp,,0.00076,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,5263.157894736842,0.0,0.0,0,0,0,0,69,1,69,69,69,1,69,69,0,0
1761330290.358882,C42G1J1YZCo82UbIfb,192.168.255.112,65490,192.168.255.221,80,tcp,,0.000915,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4371.584699453552,0.0,0.0,0,0,0,0,70,1,70,70,70,1,70,70,0,0
1761330290.358882,CCmGtfU3eJqi2zWg8,192.168.255.112,65491,192.168.255.221,80,tcp,,0.000915,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4371.584699453552,0.0,0.0,0,0,0,0,71,1,71,71,71,1,71,71,0,0
1761330290.359254,CPdK5f4CvT8THQwwr8,192.168.255.112,65492,192.168.255.221,80,tcp,,0.000676,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,5917.15976331361,0.0,0.0,0,0,0,0,72,1,72,72,72,1,72,72,0,0
1761330290.35993,CBWZ7Q10mQ66bYNCK7,192.168.255.112,65493,192.168.255.221,80,tcp,,0.001019,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3925.417075564279,0.0,0.0,0,0,0,0,73,1,73,73,73,1,73,73,0,0
1761330290.360235,CgnzcT1rErOnphqN9k,192.168.255.112,65496,192.168.255.221,80,tcp,,0.000869,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4602.991944764097,0.0,0.0,0,0,0,0,74,1,74,74,74,1,74,74,0,0
1761330290.360235,Cmtb4T1B1e96vKr3da,192.168.255.112,65495,192.168.255.221,80,tcp,,0.001039,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3849.8556304138597,0.0,0.0,0,0,0,0,75,1,75,75,75,1,75,75,0,0
1761330290.360235,CxjlXo1JuFab5oqxti,192.168.255.112,65494,192.168.255.221,80,tcp,,0.001039,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3849.8556304138597,0.0,0.0,0,0,0,0,76,1,76,76,76,1,76,76,0,0
1761330290.360523,CMulFK3mH2FHZOSmpd,192.168.255.112,65497,192.168.255.221,80,tcp,,0.000751,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,5326.231691078561,0.0,0.0,0,0,0,0,77,1,77,77,77,1,77,77,0,0
1761330290.361274,CX1KkC46HSaUa3qIii,192.168.255.112,65498,192.168.255.221,80,tcp,,0.00127,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3149.606299212598,0.0,0.0,0,0,0,0,78,1,78,78,78,1,78,78,0,0
1761330290.361499,CQ9RFm4HMwGK6Cy7p9,192.168.255.112,65500,192.168.255.221,80,tcp,,0.00143,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2797.2027972027972,0.0,0.0,0,0,0,0,79,1,79,79,79,1,79,79,0,0
1761330290.361499,CBqDSh1FtB05biaB9,192.168.255.112,65499,192.168.255.221,80,tcp,,0.001429,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2799.160251924423,0.0,0.0,0,0,0,0,80,1,80,80,80,1,80,80,0,0
1761330290.362263,CzXFMX2WeDKdJONeaa,192.168.255.112,65501,192.168.255.221,80,tcp,,0.00092,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4347.826086956522,0.0,0.0,0,0,0,0,81,1,81,81,81,1,81,81,0,0
1761330290.362544,CImWV6yxhvM9kjf27,192.168.255.112,65502,192.168.255.221,80,tcp,,0.001058,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3780.718336483932,0.0,0.0,0,0,0,0,82,1,82,82,82,1,82,82,0,0
1761330290.362544,ChoxxxGF0mIeNc0oc,192.168.255.112,65503,192.168.255.221,80,tcp,,0.001058,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3780.718336483932,0.0,0.0,0,0,0,0,83,1,83,83,83,1,83,83,0,0
1761330290.362928,C0bUlk1F1ldZxyu2ie,192.168.255.112,65505,192.168.255.221,80,tcp,,0.001209,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3308.519437551696,0.0,0.0,0,0,0,0,84,1,84,84,84,1,84,84,0,0
1761330290.363183,CDuNFA2Ft9qlzyj4wb,192.168.255.112,65506,192.168.255.221,80,tcp,,0.000954,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4192.8721174004195,0.0,0.0,0,0,0,0,85,1,85,85,85,1,85,85,0,0
1761330290.363768,CZ23Gn2pNZAR4c6Js6,192.168.255.112,65508,192.168.255.221,80,tcp,,0.000992,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4032.258064516129,0.0,0.0,0,0,0,0,86,1,86,86,86,1,86,86,0,0
1761330290.363768,C5PE5q1lqaekiF33W2,192.168.255.112,65507,192.168.255.221,80,tcp,,0.000845,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4733.7278106508875,0.0,0.0,0,0,0,0,87,1,87,87,87,1,87,87,0,0
1761330290.364137,ClVZwTOjJEQMu3eRb,192.168.255.112,65510,192.168.255.221,80,tcp,,0.001011,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3956.4787339268055,0.0,0.0,0,0,0,0,88,1,88,88,88,1,88,88,0,0
1761330290.364137,CQoNU93Knq5pGd4qRj,192.168.255.112,65509,192.168.255.221,80,tcp,,0.001011,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3956.4787339268055,0.0,0.0,0,0,0,0,89,1,89,89,89,1,89,89,0,0
1761330290.365148,C5DIrb2m2xNosGcD1b,192.168.255.112,65513,192.168.255.221,80,tcp,,0.001012,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3952.569169960474,0.0,0.0,0,0,0,0,90,1,90,90,90,1,90,90,0,0
